id,origin_id,filename,context1,context2,label
11,74,107_Uptodate Lexidrug,"INFORMATION We and our third-party service providers may collect personal information from the following sources: Direct interactions, such as when you register for our Services, make a purchase, or communicate with us, including through our web chat features Data from third parties, such as information on third-party websites or other information you may have made publicly available, or information provided by third party sources, including but not limited to government entities and data resellers Automated tracking technologies, such as information automatically collected about your interaction with our Services and websites using various technologies such as cookies, web logs and beacons and internet tags.
HOW WE USE YOUR PERSONAL INFORMATION
Personal information is used for the purposes for which it has been collected and might be further used for statutory or other legitimate purposes only.
As an example, if you make use of our service contact form or web chat features on our website, we will use the information you provided in the first place to respond to your service request.","Wolters Kluwer does not knowingly collect or maintain personal information (as defined by the United States Children???s Online Privacy Protection Act) from persons under 13 years of age.
If Wolters Kluwer learns that personal information of persons under 13 has been collected on or through the Services, we will take appropriate steps to delete this information.
HOW WE COLLECT PERSONAL
INFORMATION We and our third-party service providers may collect personal information from the following sources: Direct interactions, such as when you register for our Services, make a purchase, or communicate with us, including through our web chat features Data from third parties, such as information on third-party websites or other information you may have made publicly available, or information provided by third party sources, including but not limited to government entities and data resellers Automated tracking technologies, such as information automatically collected about your interaction with our Services and websites using various technologies such as cookies, web logs and beacons and internet tags.",0
12,77,10_Telegram,"We may use data about your age to determine your eligibility for accessing age-specific content.
Telegram Business subscribers can add a fixed location and a list of opening hours to their profile, to help clients identify and engage with their business more efficiently on Telegram.
If you choose to add it to your profile, this information is always public. 3.2.
Your Email Address When you enable 2-step-verification for your account or store documents using the Telegram Passport feature, you can opt to set up a password recovery email.","Only audio data may be shared for this purpose (no other data, such as the user's IP address or any information about their account is shared).
According to the agreement between Telegram and Google, Telegram will pay for the transcriptions on behalf of its users and Google will only access the audio data to provide a transcribed version ???it will not log audio data or transcripts, and will not use the data for any other Google products, services, or advertising.
9.
Your Rights Regarding the Personal Data You Provide to Us 9.1.",0
13,100,111_Pandora - Music & Podcasts,"This may include images, video, audio recordings, voice data when you use certain features of Sirius XM services.
A. Purposes for Collection: 1.Provide You Services (facilitate access to Sirius XM services, including to understand and respond to voice commands; respond to your inquiries and provide customer service); 2. Internal Business Purposes (provide and improve our services; market research and auditing); 3.Administrative (detect and troubleshoot technical issues).
Security Vendors C. Categories of Third Parties to Whom the Data is Sold/Shared for Targeted Advertising: This category of data is not sold or shared for targeted advertising.
Geolocation Data ???This may include rough or approximate location at hometown, city, state, region/country level or your precise geolocation in specific or limited instances A. Purposes for Collection:","Sharing of IP address or mobile ad IDs with third party advertising vendors and certain other targeted advertising practices may constitute a ??sale???under definitions set forth in CO, CT, OR, and TX laws.
Please note that opting out of ??sale???in CO, CT, OR, or TX or ??targeted advertising???in any of these states will not opt you out of all advertising.
You may continue to receive ads delivered through the Services based on listening content, region, or other general categories to which non-personal data applies.
Cookie Based Opt Outs for Sale and Targeted Advertising Sirius XM may use technologies, such as cookies and pixels, in the course of web-based or online advertising, analytics or similar activities that collect or share personal data in a manner that may constitute a ??sale???under CO, CT, OR, and TX law or support ??targeted advertising???under VA, CO, CT, OR, TX and UT state laws.",2
14,110,111_Pandora - Music & Podcasts,"Your request to opt out of the sale of your covered information must be submitted to privacy@siriusxm.com or privacy@pandora.com, depending on your subscription servicewith the subject line ??Nevada Do Not Sell Request???along with your full name, street address, city, state, zip code, whether you are a former or a current subscriber/listener and a valid email address so that we can contact you if needed regarding your request.
If you previously provided a phone number, including it will assist us in making sure we identify you as someone who wants to opt out.
You may be required to take reasonable steps as we determine from time to time to verify your identity and/or the authenticity of your request.
Note: in order to process a request from a former or current subscriber/listener, your email address must match the email address on your account.","This Device Data may be stored and/or accessed from your computer, tablet, mobile device, or other device (including streaming media players, gaming consoles, home audio systems, connected speakers or other smart devices, and wearable devices) whenever you visit or interact with the Services.
Device Data may include, but is not limited to: Your IP address, mobile or connected device identifier when made available by the device manufacturer Information about the device such as model, operating system version, date/time of access, mobile network information Approximate location of your device using location inferred from IP address or if you choose to provide it (city, state or zip code)
Precise Geolocation (e.g., longitude/latitude, or proximity to beacon).
Such geolocation is collected only with your consent.",0
15,116,111_Pandora - Music & Podcasts,"TABLE OF OUR DATA COLLECTION AND USE PRACTICES The following Table sets out by category of personal data collected: A. The purposes for which personal data is collected; B. Categories of third parties to whom personal data may be disclosed for a business purpose; and C. Categories of third parties to whom the information may be sold for monetary value or other valuable consideration or shared for cross contextual behavioral or targeted advertising, each term as defined by applicable law Please Note All Categories of Personal Data Below May be Used for the Following Purposes:
Legal (to resolve disputes; enforce our agreements and policies; protect our or others???rights/assets; comply with our contractual obligations; cooperate in governmental or other legal inquiries; fulfill regulatory reporting obligations), Business Transitions (in connection with a merger, acquisition, consolidation, bankruptcy, or other corporate transition, affecting all or part of our assets, including during due diligence), Security (to protect the Services; investigate, detect, prevent, and protect against issues of our systems, fraud, crime, or other activities that violate our policies or applicable laws; to protect the health and safety of our users or the general public), and Other purposes as disclosed at the time of collection or with your consent.
Please Note All Categories of Personal Data Below May be Disclosed To the Following: Law Enforcement and Government Agencies/Where Required By Law (including third parties in connection with court or other legal actions including valid subpoenas) Third parties in the course of a Business Transition Third parties to whom you agree or direct us to share your information Other service providers who use your personal data to provide services to us or to you.
Category of Personal Data A. Purpose for Collection B. Categories of Third Parties Personal Data is Disclosed To C. Third Parties to whom Personal Data is Sold or Shared for Targeted Advertising Registration Data - This may include your name, email address, mailing address, phone number, birth year, zip code.","Please consult with the applicable search engine to determine how you may remove webpages from their webpage cache. 10.
General Audience Sites Users must be 18 and older to sign up for use of the Sirius XM services.
The Services are not intended for use by individuals younger than 16 years of age.
We do not knowingly collect any personal data from individuals younger than the age of 13. 11.",0
16,124,111_Pandora - Music & Podcasts,"E. Social Media and Other Third Party Platforms
We may facilitate interactions with social media or other third party platforms which may include the ability to ??like???or ??share???content.
You may also have the opportunity to log in through or otherwise connect your third party platform account to your subscription Service.
When you interact with these third party platforms through the Services, we will receive your personal data from the third party platform service and you agree to share data, which may be personal, about your interactions with the Service with that social media service.","Please consult with the applicable search engine to determine how you may remove webpages from their webpage cache. 10.
General Audience Sites Users must be 18 and older to sign up for use of the Sirius XM services.
The Services are not intended for use by individuals younger than 16 years of age.
We do not knowingly collect any personal data from individuals younger than the age of 13. 11.",0
17,125,111_Pandora - Music & Podcasts,"By providing your information, you understand and agree that we may transfer such information to the acquiring entity without your further consent, except where required by law.
5.
Third Party Advertising and Analytics/Privacy Controls Sirius XM engages in third party business relationships, including with advertising companies, ad agencies, ad tech providers, measurement and attribution vendors, and analytics providers to place and display Sirius XM ads, to deliver third party ads on the Services, and to provide us with information regarding the use of the Services and ad effectiveness.
In addition, some advertisers, agencies and ad tech vendors may utilize their own tracking technologies embedded in their ads or on your device, and they may otherwise collect or have access to data about your device and other information about you, some of which may be personal data under certain state laws.","Please consult with the applicable search engine to determine how you may remove webpages from their webpage cache. 10.
General Audience Sites Users must be 18 and older to sign up for use of the Sirius XM services.
The Services are not intended for use by individuals younger than 16 years of age.
We do not knowingly collect any personal data from individuals younger than the age of 13. 11.",0
18,136,111_Pandora - Music & Podcasts,"Mobile Device/AppChoices.
Mobile devices contain settings that may allow you to disable tracking advertising or analytics.
If you are using an iOS-based device and do not want to receive advertisements personalized to you or your individual interests, you may be able to limit these advertisements by enabling ??Limit Ad Tracking???on your iOS Device following the instructions provided by Apple.
If you are using an Android-based device and do not wish to receive advertisements personalized to you, you can visit Google???s Ads Settings page from a browser on your Android-based device and make your choices there.","Security Vendors, 4.
Subsidiaries C. Categories of Third Parties to Whom the Data is Sold/Shared for Targeted Advertising: This category of data is not sold or shared for targeted advertising.
Device Data ???This may include IP address, mobile device ID, other unique ID, device information (device model, operating system version, date and time of access, mobile network information, cookie settings).
A. Purposes for Collection: 1.Provide You Services (facilitate access to Sirius XM services, create and manage your account on Services; identify and recognize you across services and devices); 2.Internal Business Purposes (provide and improve our services; market research and auditing; understand how you use our services, including analyzing trends and usage patterns); 3.Marketing (to send you special deals, offers, invites to events, and similar information from us or third parties); 4.Advertising (to tailor content, including advertising and listening recommendations, to you on the Services and on other websites and services; to monitor and control the ad delivery, performance and frequency); 5.Administrative (investigate and prevent fraud and other illegal activities; detect and troubleshoot technical issues).",1
19,142,111_Pandora - Music & Podcasts,"C. Unaffiliated Third-Party Business Relationships We may share your personal data with unaffiliated third parties with whom we have a business relationship for ours or for their own business and advertising purposes.
These third parties may include companies with whom we have marketing, licensing, sponsorship, product or service distribution or similar agreements.
Such third party's use of the personal data is subject to their privacy policy and data practices.
You may opt-out of our sharing of your information for third-party marketing through your Sirius XM Online Account Center (for former or current Sirius XM subscribers) or by sending an email request to opt-out of sharing for third-party marketing to privacy @siriusxm.com or privacy@pandora.com, depending upon your subscription service.","Sharing of IP address or mobile ad IDs with third party advertising vendors and certain other targeted advertising practices may constitute a ??sale???under definitions set forth in CO, CT, OR, and TX laws.
Please note that opting out of ??sale???in CO, CT, OR, or TX or ??targeted advertising???in any of these states will not opt you out of all advertising.
You may continue to receive ads delivered through the Services based on listening content, region, or other general categories to which non-personal data applies.
Cookie Based Opt Outs for Sale and Targeted Advertising Sirius XM may use technologies, such as cookies and pixels, in the course of web-based or online advertising, analytics or similar activities that collect or share personal data in a manner that may constitute a ??sale???under CO, CT, OR, and TX law or support ??targeted advertising???under VA, CO, CT, OR, TX and UT state laws.",2
20,163,116_TheNewYorkTimes,"We use service provider platforms to support these programs and personal information is shared with them as described below with respect to service providers in general.
We target these surveys based on a number of factors including information we automatically collect about your interests and usage, as described below.
These surveys are used for a variety of purposes described throughout this Privacy Policy including research for marketing of Times Services, as well as research for third party advertisers that are interested in targeting ads to particular groups of Times readers.
As described in more detail below, we combine information from these surveys and panels with information collected automatically from Times Services and sometimes we also apply internal or third party machine learning or artificial intelligence large language models or applications to this information (alone or in combination with other personal information we collect about you).","If you are not logged in, or do not have an account with any Times Services listed above, your opt-out of the ??sale???or ??sharing???of personal information will be specific to the browser or device from which you have clicked ??Your Privacy Choices???and until you clear your cookies (or local storage in apps) on this browser or device.
We do not knowingly ??sell???or ??share???(as those terms are defined by the CCPA)
the personal information of minors under 16 years old. iv.
Right to Limit Use and Disclosure of Sensitive Personal Information If you are a California resident, you have a right to limit our use of sensitive personal information for any purposes other than to provide the services or goods you request or as otherwise permitted by law.",0
21,169,116_TheNewYorkTimes,"We share information that we collect from you, such as your email, IP address or information about your browser or operating system, with our identity partners/service providers, including LiveRamp Inc.
LiveRamp returns an online identification code that we may store in our first-party cookie for our use in online, in-app, and cross-channel advertising and it may be shared with advertising companies to enable interest-based and targeted advertising.
You can read more about LiveRamp???s privacy practice here.
We may also collect such information (name, email, IP address, phone number and/or information about your browser or operating system) from third parties for the purposes of personalized marketing to you on Times Services and/or to create audiences for third-party advertisers.","If you are not logged in, or do not have an account with any Times Services listed above, your opt-out of the ??sale???or ??sharing???of personal information will be specific to the browser or device from which you have clicked ??Your Privacy Choices???and until you clear your cookies (or local storage in apps) on this browser or device.
We do not knowingly ??sell???or ??share???(as those terms are defined by the CCPA)
the personal information of minors under 16 years old. iv.
Right to Limit Use and Disclosure of Sensitive Personal Information If you are a California resident, you have a right to limit our use of sensitive personal information for any purposes other than to provide the services or goods you request or as otherwise permitted by law.",0
22,171,116_TheNewYorkTimes,"By and large, it???s information about you that can personally identify you ???either on its own or when combined with other information.
The following describes the information we collect and how we obtain it. 1.
(A) Information Collected through Times Services.
i. Information You Voluntarily Give Us For Registration: When you sign up for a Times Service (whether via a subscription or a free account as a registered user), we collect personal identifiers such as your contact information, including your name and email address, and account credentials.","To exercise this right, click the ""Your Privacy Choices"" link on the bottom of the webpage where your information is being collected or go to ??Account???and then ??Settings,???and ??Privacy Settings???and click the ??Your Privacy Choices???link there.
You can also submit a request to opt-out by emailing us at privacy@nytimes.com with the subject line ??California Resident - Do Not Sell or Share.???Finally, if your browser supports it, you can turn on the Global Privacy Control to opt-out of the ??sale???or ??sharing???of your personal information.
If you have an account with certain Times Services (specifically nytimes.com, cooking.nytimes.com, nytimes.com/crosswords, the New York Times app, the New York Times Cooking app and the New York Times Games app) and are logged in, we will save your preference and honor your opt-out request across browsers and devices so long as you remain logged in.",0
23,174,116_TheNewYorkTimes,"A list of E.U. data protection authorities is available.
But we encourage you to first contact us with any questions or concerns.
In some jurisdictions, you may appeal to us if we refuse to take action on your exercise of certain choices described above.
In order to appeal such a refusal, please contact us at privacy@nytimes.com using the subject line ??Appeal of Refusal to Take Action on Privacy Request???and provide the relevant information in the email. 4. (B) California Privacy Notices and Rights If you are a California resident, you have certain rights with respect to your personal information.","If you are not logged in, or do not have an account with any Times Services listed above, your opt-out of the ??sale???or ??sharing???of personal information will be specific to the browser or device from which you have clicked ??Your Privacy Choices???and until you clear your cookies (or local storage in apps) on this browser or device.
We do not knowingly ??sell???or ??share???(as those terms are defined by the CCPA)
the personal information of minors under 16 years old. iv.
Right to Limit Use and Disclosure of Sensitive Personal Information If you are a California resident, you have a right to limit our use of sensitive personal information for any purposes other than to provide the services or goods you request or as otherwise permitted by law.",0
24,176,116_TheNewYorkTimes,"We may also target third party advertising to users through matching services such as Unified ID 2.0 and LiveRamp???s Authenticated Traffic Solution (??ATS???.
In these situations, we use information that directly identifies you, including name, email address, or phone number, to engage in targeted advertising, including by converting email addresses/phone numbers into identifiers used for advertising purposes.
We share information that we collect from you, such as your email, IP address or information about your browser or operating system, with our identity partners/service providers, including LiveRamp Inc.
LiveRamp returns an online identification code that we may store in our first-party cookie for our use in online, in-app, and cross-channel advertising and it may be shared with advertising companies to enable interest-based and targeted advertising.","That being said, in order to opt out of receiving these matched ads, you should also contact the applicable third parties.
For example, when we use ??Custom Audiences???to serve you our ad through Facebook, you should be able to hover over the box in the right corner of that Facebook ad and opt out.
We are not responsible for any third party???s failure to comply with opt-out requests.
To opt out of Unified ID 2.0 (or UID 2), please visit https://www.transparentadvertising.com/. We periodically send you targeted email newsletters or promotional emails.",1
25,185,117_Police Scanner - Live Radio,"In addition, we may provide you with ??just-in-time???disclosures or additional information about the data collection, use and sharing practices of specific parts of our Service.
These notices may provide additional information about our privacy practices, or additional choices about how we process your information.
3.
Information We Collect A. Cookies & Similar Tracking Technologies.","Furthermore, the Company may be obligated to retain personal data for a longer period whenever required to do so for the performance of a legal obligation or upon order of an authority.
Once the retention period expires, personal data shall be deleted.
Therefore, the right to access, the right to erasure, the right to rectification and the right to data portability cannot be enforced after expiration of the retention period. 10.
Special Information for California Residents California law allows users of the Site or Service who are California residents to request and receive once a year, free of charge, a notice from us describing what categories of personal information (if any) we shared with third parties, including our corporate affiliates, for their direct marketing purposes during the preceding calendar year.",0
26,186,117_Police Scanner - Live Radio,"These notices may provide additional information about our privacy practices, or additional choices about how we process your information.
3.
Information We Collect A. Cookies & Similar Tracking Technologies.
We use ??cookies???and similar tracking technologies to collect information about your use of the Service and to provide you with interest-based advertising.","Facebook Audience Network is an advertising service provided by Facebook, Inc. Personal Data collected: Cookies; Usage Data. B. Analytics.
The services contained in this section enable us to monitor and analyze web traffic and can be used to keep track of User behavior.
Analytics collected directly (this Application) This Application uses an internal analytics system that does not involve third parties.
Personal Data collected: Cookies; Usage Data.",1
27,189,117_Police Scanner - Live Radio,"Furthermore, the Company may be obligated to retain personal data for a longer period whenever required to do so for the performance of a legal obligation or upon order of an authority.
Once the retention period expires, personal data shall be deleted.
Therefore, the right to access, the right to erasure, the right to rectification and the right to data portability cannot be enforced after expiration of the retention period. 10.
Special Information for California Residents California law allows users of the Site or Service who are California residents to request and receive once a year, free of charge, a notice from us describing what categories of personal information (if any) we shared with third parties, including our corporate affiliates, for their direct marketing purposes during the preceding calendar year.","Furthermore, the Company may be obligated to retain personal data for a longer period whenever required to do so for the performance of a legal obligation or upon order of an authority.
Once the retention period expires, personal data shall be deleted.
Therefore, the right to access, the right to erasure, the right to rectification and the right to data portability cannot be enforced after expiration of the retention period. 10.
Special Information for California Residents California law allows users of the Site or Service who are California residents to request and receive once a year, free of charge, a notice from us describing what categories of personal information (if any) we shared with third parties, including our corporate affiliates, for their direct marketing purposes during the preceding calendar year.",0
