id,filename,context1,context2,contextId1,contextId2,label,,,,
11,101_Trucker Path_ Truck GPS & Fuel,"Alternative means of contact: If the Trucker Path (DSAR) Portal is unavailable, requests can be sent to privacy@truckerpath.comor to our mailing address: Trucker Path, Inc.45 W Buchanan St Phoenix, AZ 85003If you have any unresolved privacy concerns that we have not addressed satisfactorily after contacting us, you have the right to contact the EU Data Protection Authorities by clicking on the following link: https://ec.europa.eu/justice/article-29/structure/data-protection-authorities/index_en.htm.Third Parties who may receive personal data (Onward Transfer)Trucker Path may employ and contract with third-party service providers and other entities to assist in providing our services to customers by performing certain tasks on our behalf.
These third-party providers may offer customer support, data storage services (data centers),or technical operations.
Trucker Path maintains contracts with these third parties restricting their access, use and disclosure of personal data in compliance.
These third parties may access, process, or store personal data in the course of providing their services.","Please keep in mind that due to the inherent nature of the Internet, there is no way to make the transmission of electronic data entirely safe from intrusion.
To help protect the privacy of data and personally identifiable information you transmit through use of this site and any other related services, we maintain physical, technical and administrative safeguards.
We update and test our security technology on an ongoing basis.
We restrict access to your personal data to those employees who need to know that information to provide benefits or services to you.",158,140,-1,,,,
12,101_Trucker Path_ Truck GPS & Fuel,"By using the Website/app and our Services, you consent to the foregoing collection and use of information and any such transfer of information outside of your country.
We make no representation or warranty with respect to any duty to permanently store any Personal Information you may provide.
Personal information you choose to provideIn order to provide the best experience when you visit our Website/app, we may ask you for Personal Information.
Personal Information includes, for example, your name and e-mail address, both of which you may be asked to provide when registering with Trucker Path.","Please keep in mind that due to the inherent nature of the Internet, there is no way to make the transmission of electronic data entirely safe from intrusion.
To help protect the privacy of data and personally identifiable information you transmit through use of this site and any other related services, we maintain physical, technical and administrative safeguards.
We update and test our security technology on an ongoing basis.
We restrict access to your personal data to those employees who need to know that information to provide benefits or services to you.",94,140,-1,,,,
13,101_Trucker Path_ Truck GPS & Fuel,"This section for California residents applies solely to visitors, users, and others who reside in the State of California (consumers or you).
We adopt this notice to comply with the California Consumer Privacy Act of 2018 (CCPA) and other California privacy laws.
Any terms defined in the CCPA have the same meaning when used in this notice.
Information We CollectWe collect information that identifies, relates to, describes, references, is capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer or device (personal information).","If you are located in Canada, this section applies to you.
We may process your information if you have given us specific permission (i.e., express consent) to use your personal information for a specific purpose, or in situations where your permission can be inferred (i.e., implied consent).
You can withdraw your consent at any time.
In some exceptional cases, we may be legally permitted under applicable law to process your information without your consent, including, for example: If collection is clearly in the interests of an individual and consent cannot be obtained in a timely way For investigations and fraud detection and prevention For business transactions provided certain conditions are met If it is contained in a witness statement and the collection is necessary to assess, process, or settle an insurance claimFor identifying injured, ill, or deceased persons and communicating with next of kinIf we have reasonable grounds to believe an individual has been, is, or may be victim of financial abuseIf it is reasonable to expect collection and use with consent would compromise the availability or the accuracy of the information and the collection is reasonable for purposes related to investigating a breach of an agreement or a contravention of the laws of Canada or a province",166,162,-1,,,,
14,102_Transit ? Subway & Bus Times,"In case a business transaction is completed, you agree that any information may be transferred to the corporation that owns Transit or the relevant part of it in order to carry its business.
A business transaction includes, but is not limited to, a reorganization, merger, purchase, sale or other acquisition or disposition of a corporation or any of its assets.
In case we are required to comply with applicable law and regulations and lawful requests or orders or if it is otherwise permitted by law (i.e., protect and defend our rights, situation that threatens life, health or safety, etc.).We also disclose anonymous and aggregate information to certain third parties for research, product development or other business purposes.
For instance, we may share information with transit agencies to help them analyze and improve their services.7.1 Third Party Software/ServiceWhile using Transit, we may be using third party software and/or service for various needs, inter alia, in order to collect and/or process the information detailed herein (the ""Third Party Service Provider"").","Sentry SDK, which is used for crashes and issues analysis.
Fabric SDK, which is used for crashes and issues analysisFirebase SDK, which is used for users preferences, favorite location storage and sending push notifications.
Masabi JustRide SDK, which is used to offer mobile ticketing for various transit authorities.
Note that these are independent software and/or service providers and we do not take any liability about the information collection policies of these providers, or about any kind of issue, legal or otherwise, relating thereto.",195,197,-1,,,,
15,102_Transit ? Subway & Bus Times,"You can provide anonymous feedback by using an email account that does not reveal your identity, and does not include your name.
You can also manually remove the debugging info.txt attachment file from the emails body if you do not want to share such contextual information with us.
You can unsubscribe at any time from mailing lists announcing newly released cities by clicking the Unsubscribe link in the emails you may receive.7.
Disclosure to Third PartiesWe do not disclose your information to third parties without your explicit consent except for the following purposes:In case you request assistance with the use of Transit, we might share such request, including your contact information, with a third party directly involved in the issue (i.e. if you inform us over email that certain transit schedules in the app are outdated, and we forward this message to the applicable transit agency).When you purchase or access services from a third party (e.g. a mobility operator) through our app, we will share the information required to ascertain your lawful use of those services (including tokenized payment information, relevant personally identifiable information, and any relevant location data).","This Privacy Policy does not extend to these third parties on which we have no control and for which we cannot be held liable.
We encourage you to read about the privacy policies, procedures and practices of those third parties.4.
What information we collect from youWe collect and process information from your device in several ways, including:Once you have given us your consent to track your location, we keep track of your location and movement, including your latitude, longitude, time and speed of travel.
The collection of location data only happens while Transit is in the foreground (unless explicitly stated otherwise by Transit) and if youve granted Transit access to your devices location services.",191,178,-1,,,,
16,102_Transit ? Subway & Bus Times,"We collect your name, phone number, email address and other information you may provide when using the Send Feedback feature in the Settings view.
When using that option, a debugging info.txt file is automatically attached to the email body and contains contextual information (such as your current location, device type, OS version, etc.)
that help us address issues you may be reporting.
We collect contact information (email and/or push notification token) when you explicitly request to be notified when Transit supports a new market.","How we use your informationWe may use information collected from or provided by you for the following purposes:Provide you with pertinent transport information for nearby services;Understand your preferences so that we can customize Transit for you, such as recommending personalized transport options;Restore your preferences if you log into your Transit account on a different device;Measure usage of Transit, including usage of specific features and views;Offer you rewards such as credits or promo codes for mobility operators that are available in Transit;Generate real-time location data of transit vehicles and broadcast the vehicle location and predicted arrival times to other users;Securely transfer your usage details, payment information and user credentials to mobility operators to provide you access to their services;Develop and improve Transit based on your feedback and interactions;Guide product development and build new features;Conduct research on users habits and how they use public transportation;Identify and correct bugs and other problems with Transit;Respond to your emails and help with support queries;Subject to your consent, keep you posted from time to time on latest announcements and additional information;Comply with law and regulations and lawful requests or orders.6.
Users optionsThe following are some examples of your options with regard to collection, use and disclosure of your information:You can stop all collection of location data easily and at any time by disabling location services in your devices settings or by uninstalling Transit.
You are not required to indicate any preferences (including setting your home and work address) in order to use Transit, nor are you required to create a Transit account that records your email, since these are optional.
You can provide anonymous feedback by using an email account that does not reveal your identity, and does not include your name.",182,188,0,,,,
17,102_Transit ? Subway & Bus Times,"How we use your informationWe may use information collected from or provided by you for the following purposes:Provide you with pertinent transport information for nearby services;Understand your preferences so that we can customize Transit for you, such as recommending personalized transport options;Restore your preferences if you log into your Transit account on a different device;Measure usage of Transit, including usage of specific features and views;Offer you rewards such as credits or promo codes for mobility operators that are available in Transit;Generate real-time location data of transit vehicles and broadcast the vehicle location and predicted arrival times to other users;Securely transfer your usage details, payment information and user credentials to mobility operators to provide you access to their services;Develop and improve Transit based on your feedback and interactions;Guide product development and build new features;Conduct research on users habits and how they use public transportation;Identify and correct bugs and other problems with Transit;Respond to your emails and help with support queries;Subject to your consent, keep you posted from time to time on latest announcements and additional information;Comply with law and regulations and lawful requests or orders.6.
Users optionsThe following are some examples of your options with regard to collection, use and disclosure of your information:You can stop all collection of location data easily and at any time by disabling location services in your devices settings or by uninstalling Transit.
You are not required to indicate any preferences (including setting your home and work address) in order to use Transit, nor are you required to create a Transit account that records your email, since these are optional.
You can provide anonymous feedback by using an email account that does not reveal your identity, and does not include your name.","How we use your informationWe may use information collected from or provided by you for the following purposes:Provide you with pertinent transport information for nearby services;Understand your preferences so that we can customize Transit for you, such as recommending personalized transport options;Restore your preferences if you log into your Transit account on a different device;Measure usage of Transit, including usage of specific features and views;Offer you rewards such as credits or promo codes for mobility operators that are available in Transit;Generate real-time location data of transit vehicles and broadcast the vehicle location and predicted arrival times to other users;Securely transfer your usage details, payment information and user credentials to mobility operators to provide you access to their services;Develop and improve Transit based on your feedback and interactions;Guide product development and build new features;Conduct research on users habits and how they use public transportation;Identify and correct bugs and other problems with Transit;Respond to your emails and help with support queries;Subject to your consent, keep you posted from time to time on latest announcements and additional information;Comply with law and regulations and lawful requests or orders.6.
Users optionsThe following are some examples of your options with regard to collection, use and disclosure of your information:You can stop all collection of location data easily and at any time by disabling location services in your devices settings or by uninstalling Transit.
You are not required to indicate any preferences (including setting your home and work address) in order to use Transit, nor are you required to create a Transit account that records your email, since these are optional.
You can provide anonymous feedback by using an email account that does not reveal your identity, and does not include your name.",188,188,-1,,,,
18,104_GOHUNT,"As a result, we cannot be responsible for any use of your information or content by a third party platform, which you use at your own risk.
We may also use the advertising services and networks offered by these social media platforms, such as Facebook, Instagram, LinkedIn and Twitter to deliver ad content.
Use of these services requires the social media platform to implement cookies and/or pixels to deliver ads to you while online with such platforms.
If you are a member of one of these networks but do not wish the operator to collect data relating to you via our Services, you can take the following steps:Always log out completely from the network in question before visiting other websites, and delete any related cookies, as the plug-in providers have represented to us that your personal details such as your IP address are only collected and processed when members are logged in to the social network;Hide the plug-ins using an ad blocker; orThe platform may allow you to disable such interest-based advertising, which you would need to investigate with the particular platform provider.","Some Internet browsers - like Firefox, and Safari - include the ability to transmit Do Not Track or DNT signals.
When a user turns on the Do Not Track signal, the browser sends a message to websites requesting them not to track the user.
Since uniform standards for DNT signals have not been adopted, we do not currently process or respond to DNT signals.
We deploy cookies and other technologies on our Service to collect information about you and your browsing activity, even if you have turned on the Do Not Track signal.8.",300,344,-1,,,,
19,104_GOHUNT,"Without these cookies, we cant provide parts of the Services that you request, like secure login accounts and transactional pages.
Performance & Functionality Cookies: We use performance cookies to analyze how the Services are being accessed and used, or how the Services are performing to maintain, operate and continually improve the Services and provide a better overall user experience.
Functionality cookies record information about choices youve made and allow us to customize the Services to you.
When you continue to use or return to the Services, we can remember choices you make (such as login credentials, language preference, country location or other online settings) and provide the personalized or enhanced features that you select.","Accordingly, we do not knowingly collect age identifying information, nor do we knowingly collect any personal information from children under the age of 13 years.
However, we advise all users under the age of 13 not to disclose or provide any personal information on our applications.
In the event that we discover that a child under the age of 13 has provided personal information to us, in accordance with the Childrens Online Privacy Protection Act (please see the Federal Trade Commissions website, we will delete the childs personal information from our files to the extent technologically possible.3.
INFORMATION COLLECTEDIn order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (Personal Information), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (General Information), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.",288,262,-1,,,,
20,104_GOHUNT,"Some Internet browsers - like Firefox, and Safari - include the ability to transmit Do Not Track or DNT signals.
When a user turns on the Do Not Track signal, the browser sends a message to websites requesting them not to track the user.
Since uniform standards for DNT signals have not been adopted, we do not currently process or respond to DNT signals.
We deploy cookies and other technologies on our Service to collect information about you and your browsing activity, even if you have turned on the Do Not Track signal.8.","The information GOHUNT collects, and how that information is used, depends on how you use our applications and how you manage your privacy controls.
We currently do not have the ability to respond to Do Not Track (DNT) signals.
Unless our partners have the ability to respond to the DNT signal, we would continue to track.
We also do not have the ability to detect and/or prevent authorized third party sites from bringing unauthorized third parties to our website to collect general and personal information beyond our normal intrusion detection/prevention.",344,303,-1,,,,
21,104_GOHUNT,"These third party ad networks may place their cookies, web beacons, pixel tags, or other technology on the Website or the Services or in your browser to collect General Information about you when you visit the Website or use the Services (such as browser types, time and date, browsing or transaction activity, subject to advertisements clicked on or scrolled over, or a platform-provided identifier during your visits to the Website or the Services) to enable those third party ad networks to deliver advertisements to you on third party websites and mobile applications for our products or services or those of third parties that are likely to be of interest to you.
We may receive reports based on the use of these technologies by these companies on an individual or aggregated basis.
We encourage you to view the privacy policy of advertisers and ad services to learn more about their cookies and other technologies.
If you do not want to receive those kinds of advertisements, look for the Ad Choices icon in the advertisements, which will contain a link to the privacy policy of the ad network that will provide you with information on how to opt-out of receiving such targeted advertising.","YOUR CALIFORNIA PRIVACY RIGHTSResidents of the State of California may request and obtain from us once a year, free of charge, information about the Personal Information (if any) we disclosed to third parties for direct marketing purposes in the preceding calendar year.
If you are a California resident and would like to make such a request, please submit your request in writing to:GOHUNT.comAttn: Customer Service - Privacy6560 S Tioga Way, Suite 150Las Vegas, NV 89113privacy@GOHUNT.comFor all requests, you must put the statement Your California Privacy Rights in the body of your request as well as your name, street address, city, state, and zip code.
Please note that we will not accept requests via the telephone, mail, or by facsimile, and we are not responsible for notices that are not labeled or sent properly, or that do not have complete information.
If you are under 18 years of age, reside in California, and have a registered account with us, you have the right to request removal of unwanted information that you publicly post on the Website and/or Services.",293,353,-1,,,,
22,104_GOHUNT,"If you are a registered member or an Insider, you may change your preferences in the Insider section.
When you download a mobile application from us, we have the ability to use a service provider to provide you with push notifications containing marketing messages to your mobile device.
Your device may allow you to opt out of these push notifications by accessing your device's application or notification settings for our mobile applications.
We have no control over the application permission notifications that may be provided to you on download from a third party app store or the ability of your device to opt-out of these push notifications.","The information GOHUNT collects, and how that information is used, depends on how you use our applications and how you manage your privacy controls.
We currently do not have the ability to respond to Do Not Track (DNT) signals.
Unless our partners have the ability to respond to the DNT signal, we would continue to track.
We also do not have the ability to detect and/or prevent authorized third party sites from bringing unauthorized third parties to our website to collect general and personal information beyond our normal intrusion detection/prevention.",418,303,-1,,,,
23,104_GOHUNT,"INFORMATION COLLECTEDIn order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (Personal Information), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (General Information), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.
A. PERSONAL INFORMATIONPersonal Information about You
We Collect Directly from YouWe and our partners collect your personal information when you provide it to us when you interact with us directly through our Services, such as when you access various content or features, contact us directly, or other areas in which you otherwise interact with our Service.
The Personal Information we and our partners collect and maintain about you includes:Contact information, such as name, e-mail address, postal address, and telephone numbers;Account information that you may identify in setting up an account with us, including user identification and password;Your state/province and city;In certain circumstances, including but not limited to when you make a purchase through our online store, payment information, such as credit and/or debit card number, and other billing account information, such as shipping, ordering, and other similar information when you purchase or ship an item;Your geolocation information;Content you provide to us while using the Website or App for purposes of mapping trails, destination, and other related information;Information about your purchase details; andOther information that you voluntarily provided to us.","Accordingly, we do not knowingly collect age identifying information, nor do we knowingly collect any personal information from children under the age of 13 years.
However, we advise all users under the age of 13 not to disclose or provide any personal information on our applications.
In the event that we discover that a child under the age of 13 has provided personal information to us, in accordance with the Childrens Online Privacy Protection Act (please see the Federal Trade Commissions website, we will delete the childs personal information from our files to the extent technologically possible.3.
INFORMATION COLLECTEDIn order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (Personal Information), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (General Information), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.",264,262,-1,,,,
24,104_GOHUNT,"Internally With our Employees/Agents.
We will share your Personal Information and General Information with our employees/agents who are responsible for providing you the Services in line with the scope of their employment/agency with us.
Third-Party Service Providers.
We employ and allow third parties to perform tasks on our behalf, such as payment processing, data management and analytics, marketing, advertising, email, communication and IT services, and we need to share your Personal Information and General Information with them in order for them to provide such products and services.","Accordingly, we do not knowingly collect age identifying information, nor do we knowingly collect any personal information from children under the age of 13 years.
However, we advise all users under the age of 13 not to disclose or provide any personal information on our applications.
In the event that we discover that a child under the age of 13 has provided personal information to us, in accordance with the Childrens Online Privacy Protection Act (please see the Federal Trade Commissions website, we will delete the childs personal information from our files to the extent technologically possible.3.
INFORMATION COLLECTEDIn order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (Personal Information), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (General Information), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.",323,262,0,,,,
