app_id,entity,datatype,text
104_GOHUNT,3rd-party,imei,"""In order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (\""Personal Information\""), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (\""General Information\""), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.""
""This includes your IP address, domain server, the type of computer, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), web browser, operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website or App, your movement and activity within the applications and your geographic location.""
""We also may share (within our affiliated entities or with third parties) aggregated or anonymized information that does not explicitly identify you or any individual user of our Services."""
104_GOHUNT,3rd-party,mac address,"""In order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (\""Personal Information\""), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (\""General Information\""), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.""
""This includes your IP address, domain server, the type of computer, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), web browser, operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website or App, your movement and activity within the applications and your geographic location.""
""We also may share (within our affiliated entities or with third parties) aggregated or anonymized information that does not explicitly identify you or any individual user of our Services."""
104_GOHUNT,3rd-party,person name,"""By entering a contest or promotion, you are agreeing to the official rules that govern that offering, which may contain specific requirements of you, including, except where prohibited by law, allowing us and/or other parties to use your name, voice and/or likeness in advertising or marketing materials.""
""For example, if you buy a product of one of our partners via our Services, we share your Personal Information, General Information, and information regarding your purchase with our partners / sponsors who are offering those products/services or similar products/services so they may reach out to you about your interest in other products, services or events or related products, services or events.""
""In particular, users may choose to share personal information such as name, age, gender, picture, their location information, reports and other files.""
""Subject to applicable laws, we may share your Personal Information and General Information with companies with whom the Company is affiliated or related to (e.g., parent company or subsidiaries), and will require such affiliated or related companies to use the Information solely in accordance with this Privacy Policy.""
""We will share your Personal Information and General Information with our employees/agents who are responsible for providing you the Services in line with the scope of their employment/agency with us."""
104_GOHUNT,3rd-party,phone number,"""For example, if you buy a product of one of our partners via our Services, we share your Personal Information, General Information, and information regarding your purchase with our partners / sponsors who are offering those products/services or similar products/services so they may reach out to you about your interest in other products, services or events or related products, services or events.""
""If you choose to enter a contest or promotion, your Personal Information may be disclosed to third parties in connection with the administration of such offering, such as in connection with winner selection, prize fulfillment, and as required by law, such as on a winners list.""
""In order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (\""Personal Information\""), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (\""General Information\""), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.""
""Subject to applicable laws, we may share your Personal Information and General Information with companies with whom the Company is affiliated or related to (e.g., parent company or subsidiaries), and will require such affiliated or related companies to use the Information solely in accordance with this Privacy Policy.""
""The Personal Information we and our partners collect and maintain about you includes:""
""The Personal Information we and our partners collect and maintain about you includes: Contact information, such as name, email address, postal address, and telephone numbers;""
""We and our partners collect your personal information when you provide it to us when you interact with us directly through our Services, such as when you access various content or features, contact us directly, or other areas in which you otherwise interact with our Service.""
""We and our partners may access and store some or all of the following personal information, including: Contact information, such as name, email address, postal address, and telephone numbers;""
""We employ and allow third parties to perform tasks on our behalf, such as payment processing, data management and analytics, marketing, advertising, email, communication and IT services, and we need to share your Personal Information and General Information with them in order for them to provide such products and services.""
""We will share your Personal Information and General Information with our employees/agents who are responsible for providing you the Services in line with the scope of their employment/agency with us.""
""Where permitted by applicable law, we and our partners may collect Personal Information about you from other sources, including through interactive applications (such as mobile devices and third-party services), from commercially available sources (such as data aggregators and public databases), and when you access our Services through a social network."""
104_GOHUNT,we,email address,"""A. PERSONAL INFORMATION\n\nPersonal Information about You We Collect Directly from You""
""For example, if you buy a product of one of our partners via our Services, we share your Personal Information, General Information, and information regarding your purchase with our partners / sponsors who are offering those products/services or similar products/services so they may reach out to you about your interest in other products, services or events or related products, services or events.""
""For example, we may process your personal Information to:""
""In order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (\""Personal Information\""), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (\""General Information\""), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.""
""Our applications include the GOHUNT website located at www.gohunt.com/ (the \""Website\""), our Mobile Application, GoHunt (\""App\""), our online store located at shop.gohunt.com (the \""Store\""), and our mobile apps (collectively our \""Services\"").""
""Subject to applicable laws, we may share your Personal Information and General Information with companies with whom the Company is affiliated or related to (e.g., parent company or subsidiaries), and will require such affiliated or related companies to use the Information solely in accordance with this Privacy Policy.""
""The Personal Information we and our partners collect and maintain about you includes:""
""The Personal Information we and our partners collect and maintain about you includes: Contact information, such as name, email address, postal address, and telephone numbers;""
""We also provide data, including your Personal Information about you, with our affiliates, subsidiaries and partners, as set forth in the Privacy Policy and in the following circumstances:""
""We and our partners collect your personal information when you provide it to us when you interact with us directly through our Services, such as when you access various content or features, contact us directly, or other areas in which you otherwise interact with our Service.""
""We and our partners may access and store some or all of the following personal information, including: Contact information, such as name, email address, postal address, and telephone numbers;""
""We may disclose your Personal Information and/or General Information without notice: (i) when required by law or to comply with a court order, subpoena, search warrant or other legal process; (ii) to cooperate in investigations of fraud, intellectual property infringement or any other activity that is illegal or may expose us or you to legal liability; (iii) to comply with legal, regulatory or administrative requirements of governmental authorities (including, without limitation, requests from the governmental agency authorities to view your Personal Information and/or General Information); (iv) to protect and defend the rights, property or safety of us, our subsidiaries and affiliates and any of their officers, directors, employees, attorneys, agents, contractors and partners, and the application' users; (v) to enforce or apply our Terms of Service; and (iv) to verify the identity of the users.""
""We may process your Information, including personal data, for the purposes of our legitimate interests or for the legitimate interests of third parties including our partners, provided that such processing shall not outweigh your rights and freedoms.""
""We will share your Personal Information and General Information with our employees/agents who are responsible for providing you the Services in line with the scope of their employment/agency with us.""
""Where permitted by applicable law, we and our partners may collect Personal Information about you from other sources, including through interactive applications (such as mobile devices and third-party services), from commercially available sources (such as data aggregators and public databases), and when you access our Services through a social network."""
104_GOHUNT,we,geographical location,"""Additionally, some mobile service providers operate systems that pinpoint the physical location of devices that use their services.""
""Depending on the provider, we, our partners or our third party service providers may receive this information.""
""For example, depending on your selected device settings and/or your account settings we may collect information about your location and travel (or lack thereof).""
""In order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (\""Personal Information\""), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (\""General Information\""), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.""
""Our applications include the GOHUNT website located at www.gohunt.com/ (the \""Website\""), our Mobile Application, GoHunt (\""App\""), our online store located at shop.gohunt.com (the \""Store\""), and our mobile apps (collectively our \""Services\"").""
""When you use the Service on a mobile platform, we may also collect and record your unique device ID (persistent / non-persistent), hardware type, media access control (\""MAC\"") address, international mobile equipment identity (\""IMEI\""), your device name, and your location (based on your IP address)."""
104_GOHUNT,we,imei,"""Our applications include the GOHUNT website located at www.gohunt.com/ (the \""Website\""), our Mobile Application, GoHunt (\""App\""), our online store located at shop.gohunt.com (the \""Store\""), and our mobile apps (collectively our \""Services\"").""
""When you use the Service on a mobile platform, we may also collect and record your unique device ID (persistent / non-persistent), hardware type, media access control (\""MAC\"") address, international mobile equipment identity (\""IMEI\""), your device name, and your location (based on your IP address)."""
104_GOHUNT,we,mac address,"""Our applications include the GOHUNT website located at www.gohunt.com/ (the \""Website\""), our Mobile Application, GoHunt (\""App\""), our online store located at shop.gohunt.com (the \""Store\""), and our mobile apps (collectively our \""Services\"").""
""When you use the Service on a mobile platform, we may also collect and record your unique device ID (persistent / non-persistent), hardware type, media access control (\""MAC\"") address, international mobile equipment identity (\""IMEI\""), your device name, and your location (based on your IP address)."""
104_GOHUNT,we,person name,"""By entering a contest or promotion, you are agreeing to the official rules that govern that offering, which may contain specific requirements of you, including, except where prohibited by law, allowing us and/or other parties to use your name, voice and/or likeness in advertising or marketing materials.""
""Our applications include the GOHUNT website located at www.gohunt.com/ (the \""Website\""), our Mobile Application, GoHunt (\""App\""), our online store located at shop.gohunt.com (the \""Store\""), and our mobile apps (collectively our \""Services\"")."""
104_GOHUNT,we,phone number,"""A. PERSONAL INFORMATION\n\nPersonal Information about You We Collect Directly from You""
""For example, if you buy a product of one of our partners via our Services, we share your Personal Information, General Information, and information regarding your purchase with our partners / sponsors who are offering those products/services or similar products/services so they may reach out to you about your interest in other products, services or events or related products, services or events.""
""For example, we may process your personal Information to:""
""In order to operate our Services and provide you with access to features we offer, we and our partners collect the following types of information from you: (i) personal information by which you may be identified as a natural person (\""Personal Information\""), which is defined more specifically below; and (ii) information about you and your activities across our applications that does not identify you personally (\""General Information\""), such as your IP address, domain server, the type of computer, web browser, type of mobile device (including version), identifying mobile device information, such as Media Access Control (MAC) or International Mobile Equipment Identity (IMEI), operating system or platform you use and referrer data identifying the web pages you visited prior to and after visiting our Website, your movement and activity within the applications, and your geographic location.""
""Our applications include the GOHUNT website located at www.gohunt.com/ (the \""Website\""), our Mobile Application, GoHunt (\""App\""), our online store located at shop.gohunt.com (the \""Store\""), and our mobile apps (collectively our \""Services\"").""
""Subject to applicable laws, we may share your Personal Information and General Information with companies with whom the Company is affiliated or related to (e.g., parent company or subsidiaries), and will require such affiliated or related companies to use the Information solely in accordance with this Privacy Policy.""
""The Personal Information we and our partners collect and maintain about you includes:""
""The Personal Information we and our partners collect and maintain about you includes: Contact information, such as name, email address, postal address, and telephone numbers;""
""We also provide data, including your Personal Information about you, with our affiliates, subsidiaries and partners, as set forth in the Privacy Policy and in the following circumstances:""
""We and our partners collect your personal information when you provide it to us when you interact with us directly through our Services, such as when you access various content or features, contact us directly, or other areas in which you otherwise interact with our Service.""
""We and our partners may access and store some or all of the following personal information, including: Contact information, such as name, email address, postal address, and telephone numbers;""
""We may disclose your Personal Information and/or General Information without notice: (i) when required by law or to comply with a court order, subpoena, search warrant or other legal process; (ii) to cooperate in investigations of fraud, intellectual property infringement or any other activity that is illegal or may expose us or you to legal liability; (iii) to comply with legal, regulatory or administrative requirements of governmental authorities (including, without limitation, requests from the governmental agency authorities to view your Personal Information and/or General Information); (iv) to protect and defend the rights, property or safety of us, our subsidiaries and affiliates and any of their officers, directors, employees, attorneys, agents, contractors and partners, and the application' users; (v) to enforce or apply our Terms of Service; and (iv) to verify the identity of the users.""
""We may process your Information, including personal data, for the purposes of our legitimate interests or for the legitimate interests of third parties including our partners, provided that such processing shall not outweigh your rights and freedoms.""
""We will share your Personal Information and General Information with our employees/agents who are responsible for providing you the Services in line with the scope of their employment/agency with us.""
""Where permitted by applicable law, we and our partners may collect Personal Information about you from other sources, including through interactive applications (such as mobile devices and third-party services), from commercially available sources (such as data aggregators and public databases), and when you access our Services through a social network."""
105_Escort Live Radar,3rd-party,email address,"""As a global organization with affiliated entities located inside and outside of the EU/EEA and business processes in operation across borders, we may transfer your personal data to Cedar's headquarters in the Unites States, Illinois, to any Cedar affiliate entity worldwide or to third-party business partners, providers, vendors, or contractors, that are located inside or outside of the EU/EEA, for purposes described in this Privacy Policy, including for the purpose of data processing or storage on behalf and under the control of Cedar.""
""Cedar collects different kinds of personal data from you when you use our Site, below are some examples: Contact Data includes address, email address and telephone numbers; Emergency Contact information (all optional) includes first name, last name, mobile number and email""
""During the account set-up process, you are required to give certain contact information, including your name and email address.""
""In addition, we limit access to your personal data to those employees, agents, contractors and other third parties who have a business need to know.""
""These third-party companies may use your contact information for communications and marketing purposes that support our mission and activities.""
""They will only process your personal data on our instructions and they are subject to a duty of confidentiality.""
""This personal data is required so that we can process and fulfill your order, send an order or shipping confirmation, as well as notify you of your order status.""
""We may also transfer your personal data to an affiliate, a subsidiary or a third party in the event of any reorganization, merger, sale, joint venture, assignment, transfer or other disposition of all or any portion of Cedar's business, assets or stock, including, without limitation, in connection with any bankruptcy or similar proceeding, provided that any such entity that we transfer personal data to will not be permitted to process your personal data other than as described in this Privacy Policy without providing you notice and, if required by applicable laws, obtaining your consent.""
""When you place an order for a product, we need to know your name, email address, mailing address, credit card number and expiration date.""
""You must provide contact information (such as name, email, and address) and, where applicable, financial information (such as credit card number, expiration date, and validation number)."""
105_Escort Live Radar,3rd-party,person name,"""As a global organization with affiliated entities located inside and outside of the EU/EEA and business processes in operation across borders, we may transfer your personal data to Cedar's headquarters in the Unites States, Illinois, to any Cedar affiliate entity worldwide or to third-party business partners, providers, vendors, or contractors, that are located inside or outside of the EU/EEA, for purposes described in this Privacy Policy, including for the purpose of data processing or storage on behalf and under the control of Cedar.""
""Cedar collects different kinds of personal data from you when you use our Site, below are some examples: Contact Data includes address, email address and telephone numbers; Emergency Contact information (all optional) includes first name, last name, mobile number and email""
""During the account set-up process, you are required to give certain contact information, including your name and email address.""
""In addition, we limit access to your personal data to those employees, agents, contractors and other third parties who have a business need to know.""
""These third-party companies may use your contact information for communications and marketing purposes that support our mission and activities.""
""They will only process your personal data on our instructions and they are subject to a duty of confidentiality.""
""This personal data is required so that we can process and fulfill your order, send an order or shipping confirmation, as well as notify you of your order status.""
""We may also transfer your personal data to an affiliate, a subsidiary or a third party in the event of any reorganization, merger, sale, joint venture, assignment, transfer or other disposition of all or any portion of Cedar's business, assets or stock, including, without limitation, in connection with any bankruptcy or similar proceeding, provided that any such entity that we transfer personal data to will not be permitted to process your personal data other than as described in this Privacy Policy without providing you notice and, if required by applicable laws, obtaining your consent.""
""When you place an order for a product, we need to know your name, email address, mailing address, credit card number and expiration date.""
""You must provide contact information (such as name, email, and address) and, where applicable, financial information (such as credit card number, expiration date, and validation number)."""
105_Escort Live Radar,3rd-party,phone number,"""Cedar collects different kinds of personal data from you when you use our Site, below are some examples: Contact Data includes address, email address and telephone numbers; Emergency Contact information (all optional) includes first name, last name, mobile number and email""
""These third-party companies may use your contact information for communications and marketing purposes that support our mission and activities."""
105_Escort Live Radar,we,email address,"""As a global organization with affiliated entities located inside and outside of the EU/EEA and business processes in operation across borders, we may transfer your personal data to Cedar's headquarters in the Unites States, Illinois, to any Cedar affiliate entity worldwide or to third-party business partners, providers, vendors, or contractors, that are located inside or outside of the EU/EEA, for purposes described in this Privacy Policy, including for the purpose of data processing or storage on behalf and under the control of Cedar.""
""Cedar collects different kinds of personal data from you when you use our Site, below are some examples: Contact Data includes address, email address and telephone numbers; Emergency Contact information (all optional) includes first name, last name, mobile number and email""
""During the account set-up process, you are required to give certain contact information, including your name and email address.""
""However, we may disclose your personal data to our subsidiaries, which are either subject to this Privacy Policy or follow practices at least as protective of your rights as those described in this Privacy Policy.""
""If we have trouble processing an order, we may use this information to contact you.""
""Note that we may process your personal data for more than one lawful ground depending on the specific purpose for which we are using your data.""
""This personal data is required so that we can process and fulfill your order, send an order or shipping confirmation, as well as notify you of your order status.""
""We may also transfer your personal data to an affiliate, a subsidiary or a third party in the event of any reorganization, merger, sale, joint venture, assignment, transfer or other disposition of all or any portion of Cedar's business, assets or stock, including, without limitation, in connection with any bankruptcy or similar proceeding, provided that any such entity that we transfer personal data to will not be permitted to process your personal data other than as described in this Privacy Policy without providing you notice and, if required by applicable laws, obtaining your consent.""
""We may disclose personal data about you to others: (a) if we have your valid consent to do so; (b) to comply with a valid subpoena, legal order, court order, legal process, or other legal obligation; (c) to enforce any of our terms and conditions or policies; or (d) as necessary to pursue available legal remedies or defend legal claims.""
""We use this information for billing purposes and to fulfill your orders.""
""We use this information to contact you about the Products on the Site in which you have expressed interest.""
""We use your personal data to process your orders and provide customer service.""
""We will only use your personal data when the law allows us to.""
""When you place an order for a product, we need to know your name, email address, mailing address, credit card number and expiration date.""
""You must provide contact information (such as name, email, and address) and, where applicable, financial information (such as credit card number, expiration date, and validation number).""
""Your personal data will be stored by us for as long as necessary in order to fulfil the purposes described above in this Privacy Policy and comply with minimum retention periods under applicable data protection laws."""
105_Escort Live Radar,we,person name,"""As a global organization with affiliated entities located inside and outside of the EU/EEA and business processes in operation across borders, we may transfer your personal data to Cedar's headquarters in the Unites States, Illinois, to any Cedar affiliate entity worldwide or to third-party business partners, providers, vendors, or contractors, that are located inside or outside of the EU/EEA, for purposes described in this Privacy Policy, including for the purpose of data processing or storage on behalf and under the control of Cedar.""
""Cedar collects different kinds of personal data from you when you use our Site, below are some examples: Contact Data includes address, email address and telephone numbers; Emergency Contact information (all optional) includes first name, last name, mobile number and email""
""During the account set-up process, you are required to give certain contact information, including your name and email address.""
""However, we may disclose your personal data to our subsidiaries, which are either subject to this Privacy Policy or follow practices at least as protective of your rights as those described in this Privacy Policy.""
""If we have trouble processing an order, we may use this information to contact you.""
""Note that we may process your personal data for more than one lawful ground depending on the specific purpose for which we are using your data.""
""This personal data is required so that we can process and fulfill your order, send an order or shipping confirmation, as well as notify you of your order status.""
""We may also transfer your personal data to an affiliate, a subsidiary or a third party in the event of any reorganization, merger, sale, joint venture, assignment, transfer or other disposition of all or any portion of Cedar's business, assets or stock, including, without limitation, in connection with any bankruptcy or similar proceeding, provided that any such entity that we transfer personal data to will not be permitted to process your personal data other than as described in this Privacy Policy without providing you notice and, if required by applicable laws, obtaining your consent.""
""We may disclose personal data about you to others: (a) if we have your valid consent to do so; (b) to comply with a valid subpoena, legal order, court order, legal process, or other legal obligation; (c) to enforce any of our terms and conditions or policies; or (d) as necessary to pursue available legal remedies or defend legal claims.""
""We use this information for billing purposes and to fulfill your orders.""
""We use this information to contact you about the Products on the Site in which you have expressed interest.""
""We use your personal data to process your orders and provide customer service.""
""We will only use your personal data when the law allows us to.""
""When you place an order for a product, we need to know your name, email address, mailing address, credit card number and expiration date.""
""You must provide contact information (such as name, email, and address) and, where applicable, financial information (such as credit card number, expiration date, and validation number).""
""Your personal data will be stored by us for as long as necessary in order to fulfil the purposes described above in this Privacy Policy and comply with minimum retention periods under applicable data protection laws."""
